Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Algeria,DZA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,21.3,20.9,20.4,20,..
Algeria,DZA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,25.25,24.846,24.282,..,..
Algeria,DZA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.717,4.717,4.716,..,..
Algeria,DZA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.052,3.045,3.023,..,..
American Samoa,ASM,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.198,87.17,87.153,87.147,..
American Samoa,ASM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..,..,..,..
American Samoa,ASM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..,16.6,..,..,..
American Samoa,ASM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..,5.1,..,..,..
American Samoa,ASM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
Andorra,AND,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.248,88.15,88.062,87.984,..
Andorra,AND,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.2,3.1,2.9,2.8,..
Andorra,AND,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,8.8,..,7.2,..,..
Andorra,AND,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.3,..,4.4,..,..
Andorra,AND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
Angola,AGO,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,7189.42617378292,6861.58057100229,6359.86817544954,..,..
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.925,60.379,60.782,..,..
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,64.149,64.839,65.514,66.177,..
Angola,AGO,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,55.6,53.5,51.9,50.2,..
Angola,AGO,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,41.882,41.281,40.729,..,..
Angola,AGO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.716,8.432,8.19,..,..
Angola,AGO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.686,5.6,5.519,..,..
Antigua and Barbuda,ATG,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,..,18775.7540238038,..,..,..
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.617,76.752,76.885,..,..
Antigua and Barbuda,ATG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.846,24.713,24.599,24.506,..
Antigua and Barbuda,ATG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6.5,6.2,6,5.8,..
Antigua and Barbuda,ATG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,15.717,15.53,15.327,..,..
Antigua and Barbuda,ATG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.27,6.316,6.366,..,..
Antigua and Barbuda,ATG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.003,1.999,1.994,..,..
Argentina,ARG,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,22696.2204418193,22996.5735194169,21895.9839813019,21152.8738461023,..
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.221,76.372,76.52,..,..
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.627,91.749,91.87,91.991,..
Argentina,ARG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,9.7,9.2,8.7,8.2,..
Argentina,ARG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.383,17.205,17.021,..,..
Argentina,ARG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.626,7.616,7.609,..,..
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.288,2.275,2.261,..,..
Armenia,ARM,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,11570.5651595564,12543.1901631056,12951.5136412187,13893.8283565155,..
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.64,74.797,74.945,..,..
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.082,63.103,63.149,63.219,..
Armenia,ARM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12.2,11.6,11,10.5,..
Armenia,ARM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14.568,14.298,13.987,..,..
Armenia,ARM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.849,9.862,9.857,..,..
Armenia,ARM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.744,1.75,1.755,..,..
Aruba,ABW,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,..,36295.7911358843,..,..,..
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.868,76.01,76.152,..,..
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.192,43.293,43.411,43.546,..
Aruba,ABW,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..,..,..,..
Aruba,ABW,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.404,11.532,11.652,..,..
Aruba,ABW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.765,8.907,9.053,..,..
Aruba,ABW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.872,1.886,1.896,..,..
Australia,AUS,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,47231.7517028535,47309.6356697525,47740.9605547188,48007.1475579997,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.4487804878049,82.5,82.7487804878049,..,..
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,85.8,85.904,86.012,86.124,..
Australia,AUS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.2,3.1,3.1,3.1,..
Australia,AUS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.9,12.6,12.6,..,..
Australia,AUS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.6,6.5,6.3,..,..
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.752,1.741,1.74,..,..
Austria,AUT,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,53433.6147661298,53833.3671207442,54971.2451523813,56304.4903506177,..
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.6414634146342,81.6439024390244,81.6926829268293,..,..
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.905,58.094,58.297,58.515,..
Austria,AUT,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3,2.9,2.9,2.8,..
Austria,AUT,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10,10,9.7,..,..
Austria,AUT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.2,9.5,9.5,..,..
Austria,AUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.53,1.52,1.47,..,..
Azerbaijan,AZE,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,..,13513.3972681154,..,..,..
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.493,72.693,72.864,..,..
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.021,55.343,55.68,56.031,..
Azerbaijan,AZE,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,21.8,20.5,19.3,18.2,..
Azerbaijan,AZE,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,16.3,14.6,14,..,..
Azerbaijan,AZE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.8,5.8,5.8,..,..
Azerbaijan,AZE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.9,1.75,1.73,..,..
"Bahamas, The",BHS,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,34236.3626619951,35249.1745157432,35017.0545446629,35802.5289495514,..
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.329,73.554,73.752,..,..
"Bahamas, The",BHS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.832,82.925,83.025,83.132,..
"Bahamas, The",BHS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,11.7,11.4,11.1,10.9,..
"Bahamas, The",BHS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14.131,14.049,13.968,..,..
"Bahamas, The",BHS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.689,6.72,6.771,..,..
"Bahamas, The",BHS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.771,1.762,1.752,..,..
Bahrain,BHR,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,45331.8542937987,45033.9209672575,43655.5838379228,..,..
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.899,77.032,77.163,..,..
Bahrain,BHR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.09,89.186,89.287,89.394,..
Bahrain,BHR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6.3,6.2,6.1,5.9,..
Bahrain,BHR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14.738,14.365,13.99,..,..
Bahrain,BHR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,2.355,2.368,2.385,..,..
Bahrain,BHR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.033,2.01,1.987,..,..
Bangladesh,BGD,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,4143.06842210316,4339.89283530368,4643.41453291654,4976.21066058635,..
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.785,72.052,72.32,..,..
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.083,35.858,36.632,37.405,..
Bangladesh,BGD,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,29.3,28,26.7,25.6,..
Bangladesh,BGD,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,18.824,18.501,18.184,..,..
Bangladesh,BGD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.539,5.533,5.529,..,..
Bangladesh,BGD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.09,2.062,2.036,..,..
Barbados,BRB,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,..,15079.1583896086,..,..,..
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.888,78.981,79.081,..,..
Barbados,BRB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.193,31.159,31.147,31.158,..
Barbados,BRB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12.7,12.4,12.1,11.7,..
Barbados,BRB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.732,10.683,10.648,..,..
Barbados,BRB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.865,8.936,9.004,..,..
Barbados,BRB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.613,1.615,1.619,..,..
Belarus,BLR,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,17003.7708345099,17584.766223036,18186.9606010657,18558.7187530948,..
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.8268292682927,74.1292682926829,74.1756097560976,..,..
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.661,78.134,78.595,79.044,..
Belarus,BLR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.9,2.7,2.6,2.4,..
Belarus,BLR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.4,10.8,9.9,..,..
Belarus,BLR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,12.6,12.6,12.7,..,..
Belarus,BLR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.733,1.541,1.448,..,..
Belgium,BEL,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,50469.5341346854,51060.4697928942,51776.1584370748,52561.54016495,..
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.4390243902439,81.4926829268293,81.5951219512195,..,..
Belgium,BEL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,97.919,97.961,98.001,98.041,..
Belgium,BEL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.1,2.9,2.8,2.7,..
Belgium,BEL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.8,10.5,10.3,..,..
Belgium,BEL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.5,9.6,10.7,..,..
Belgium,BEL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.68,1.65,1.62,..,..
Belize,BLZ,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,6668.05036934974,6624.25921310352,6456.32165913677,6436.18335493373,..
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.219,74.365,74.496,..,..
Belize,BLZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,45.495,45.601,45.724,45.866,..
Belize,BLZ,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12.5,11.8,11.2,10.6,..
Belize,BLZ,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,21.4,21.081,20.786,..,..
Belize,BLZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.65,4.681,4.716,..,..
Belize,BLZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.391,2.346,2.307,..,..
Benin,BEN,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,2935.45289959898,3010.89962119751,3128.72126260766,3254.24562700147,..
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.885,61.174,61.47,..,..
Benin,BEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.229,46.768,47.312,47.861,..
Benin,BEN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,63,61.8,60.4,59,..
Benin,BEN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,37.027,36.621,36.221,..,..
Benin,BEN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.18,9.025,8.871,..,..
Benin,BEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.977,4.906,4.836,..,..
Bermuda,BMU,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,..,85191.6561620299,..,..,..
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.2270731707317,81.4419512195122,81.6517073170732,..,..
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100,100,100,..
Bermuda,BMU,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..,..,..,..
Bermuda,BMU,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.6,9.3,8.2,..,..
Bermuda,BMU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8,7.8,7.5,..,..
Bermuda,BMU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.61,1.6,1.6,..,..
Bhutan,BTN,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,9850.62925074047,10174.6413713744,10330.2487501088,10760.7165827994,..
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.781,71.129,71.46,..,..
Bhutan,BTN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,39.428,40.167,40.895,41.612,..
Bhutan,BTN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,26.4,25.5,24.7,23.8,..
Bhutan,BTN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.625,17.459,17.259,..,..
Bhutan,BTN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.248,6.243,6.245,..,..
Bhutan,BTN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.014,1.994,1.975,..,..
Bolivia,BOL,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,8056.44965762168,8174.49224656763,8443.88236637701,8549.36760430489,..
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.626,70.945,71.239,..,..
Bolivia,BOL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.738,69.08,69.425,69.773,..
Bolivia,BOL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,23.9,22.9,22,21.2,..
Bolivia,BOL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,22.433,22.076,21.75,..,..
Bolivia,BOL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.834,6.795,6.772,..,..
Bolivia,BOL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.829,2.777,2.73,..,..
Bosnia and Herzegovina,BIH,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,13255.9039115295,13747.993922284,14390.9947117549,14914.2930204473,..
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.998,77.128,77.262,..,..
Bosnia and Herzegovina,BIH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.518,47.876,48.245,48.626,..
Bosnia and Herzegovina,BIH,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.3,5.3,5.2,5.1,..
Bosnia and Herzegovina,BIH,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,8.477,8.293,8.111,..,..
Bosnia and Herzegovina,BIH,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.427,10.563,10.712,..,..
Bosnia and Herzegovina,BIH,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.286,1.276,1.265,..,..
Botswana,BWA,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,15602.630280237,15898.6630318797,16150.8775974839,16444.0308891017,..
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.178,68.812,69.275,..,..
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.933,68.7,69.446,70.172,..
Botswana,BWA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,33,32.5,32.3,32.3,..
Botswana,BWA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,25.943,25.396,24.821,..,..
Botswana,BWA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6,5.834,5.742,..,..
Botswana,BWA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.942,2.91,2.874,..,..
Brazil,BRA,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,14138.9445747289,14248.3106158812,14181.8055296553,14262.9345882029,..
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.23,75.456,75.672,..,..
Brazil,BRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.042,86.309,86.569,86.824,..
Brazil,BRA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,14.6,13.2,12.8,12.4,..
Brazil,BRA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14.307,14.125,13.924,..,..
Brazil,BRA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.311,6.378,6.452,..,..
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.747,1.739,1.73,..,..
British Virgin Islands,VGB,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..
British Virgin Islands,VGB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.957,47.337,47.723,48.116,..
British Virgin Islands,VGB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..,..,..,..
British Virgin Islands,VGB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..,..,..,..,..
British Virgin Islands,VGB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..,..,..,..,..
British Virgin Islands,VGB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
Brunei Darussalam,BRN,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,65043.2392243781,64618.8559666447,60975.3946260069,63965.0993528763,..
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.45,75.585,75.722,..,..
Brunei Darussalam,BRN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.99,77.312,77.629,77.942,..
Brunei Darussalam,BRN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,9,9.2,9.4,9.6,..
Brunei Darussalam,BRN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,15.882,15.376,14.896,..,..
Brunei Darussalam,BRN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.251,4.345,4.445,..,..
Brunei Darussalam,BRN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.915,1.881,1.848,..,..
Bulgaria,BGR,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,19935.4329730144,20934.3283810141,21570.9650005568,22883.4367101793,..
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.8121951219512,74.8146341463415,74.9634146341464,..,..
Bulgaria,BGR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.329,74.669,75.008,75.347,..
Bulgaria,BGR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6.5,6.2,5.9,5.6,..
Bulgaria,BGR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.1,9,8.9,..,..
Bulgaria,BGR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,15.1,15.5,15.4,..,..
Bulgaria,BGR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.54,1.56,1.56,..,..
Burkina Faso,BFA,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,1893.09712591467,1967.62913077147,..,..,..
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.354,60.768,61.174,..,..
Burkina Faso,BFA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,28.134,28.743,29.358,29.98,..
Burkina Faso,BFA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,58,56.7,55.3,53.9,..
Burkina Faso,BFA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,38.92,38.419,37.93,..,..
Burkina Faso,BFA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.571,8.341,8.124,..,..
Burkina Faso,BFA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.353,5.271,5.189,..,..
Burundi,BDI,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,794.520769717277,772.401290148852,763.433240369568,753.908747534343,..
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.528,60.898,61.247,..,..
Burundi,BDI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,12.388,12.706,13.032,13.366,..
Burundi,BDI,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,44.2,42.6,41.2,39.9,..
Burundi,BDI,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,40.278,39.646,39.008,..,..
Burundi,BDI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.3,8.106,7.929,..,..
Burundi,BDI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.599,5.502,5.41,..,..
Cabo Verde,CPV,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,6251.4703668564,6414.02300583593,6703.07698949892,7019.16814377076,..
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.347,72.57,72.782,..,..
